0,1,2,3,4,5,6,7,8,9,10
3 + 1,110,100,2,30,Merkezi,8,Eşyalı Değil,Belirtilmemiş,Kadıköy,"10,000"
3 + 1,178,135,15,5,Merkezi (Pay Ölçer),21,Eşyalı Değil,Boş,Sarıyer,"30,000"
2 + 1,89,75,9,6,Merkezi (Pay Ölçer),12,Eşyalı,Boş,Bayrampaşa,"14,880"
4 + 1,160,145,1,40,Merkezi,4,Eşyalı,Boş,Beşiktaş,"25,000"
2 + 1,118,90,5,8,Kombi,18,Eşyalı Değil,Boş,Esenyurt,"8,000"
2 + 1,185,118,21 ve üzeri,2,Yerden Isıtma,27,Eşyalı Değil,Boş,Esenyurt,"16,000"
3 + 1,135,110,En Üst Kat,Sıfır Bina,Kombi,7,Eşyalı Değil,Boş,Kağıthane,"13,000"
2 + 1,170,150,Kot 3,17,Merkezi (Pay Ölçer),5,Eşyalı Değil,Kiracılı,Sarıyer,"30,000"
3 + 1,110,105,7,28,Merkezi,11,Eşyalı,Mülk Sahibi,Bahçelievler,"14,000"
3 + 1,130,100,12,Sıfır Bina,Merkezi (Pay Ölçer),12,2,Evet,Kadıköy,"23,500"
2 + 1,105,85,4,Sıfır Bina,Merkezi,4,Eşyalı Değil,Boş,Maltepe,"10,000"
2 + 1,90,80,Bodrum,35,Kombi,5,Eşyalı Değil,Boş,Fatih,"8,500"
4 + 1,135,130,3,38,Kombi,6,Eşyalı,Boş,Fatih,"15,000"
2 + 1,115,90,1,Sıfır Bina,Merkezi (Pay Ölçer),6,Eşyalı Değil,Boş,Silivri,"5,000"
5 + 1,300,280,3,23,Yerden Isıtma,3,Eşyalı Değil,Boş,Bakırköy,"30,000"
2 + 1,100,90,4,31,Merkezi,7,Eşyalı Değil,200,Şişli,"20,000"
2 + 1,85,80,2,50,Kombi,5,Eşyalı Değil,Boş,Şişli,"12,000"
1 + 1,70,65,1,50,Kombi,5,Eşyalı,Boş,Şişli,"13,000"
3 + 1,120,100,Bahçe Katı,27,Kombi,7,Eşyalı Değil,Boş,Kartal,"5,250"
3 + 1,155,145,8,15,Kombi,9,Eşyalı Değil,Boş,Beylikdüzü,"8,000"
2 + 1,120,110,1,30,Kombi,4,Eşyalı,"Güney, Batı",Şişli,"35,000"
1 + 1,60,50,Çatı Katı,3,Kombi,5,Eşyalı,Boş,Ataşehir,"9,000"
3 + 1,186,155,9,Sıfır Bina,Merkezi (Pay Ölçer),29,2,"Kuzey, Güney, Doğu, Batı",Ümraniye,"30,000"
3 + 1,140,130,2,8,Kombi,5,Eşyalı Değil,Mülk Sahibi,Beyoğlu,"20,000"
3 + 1,125,120,En Üst Kat,5,Kombi,3,Eşyalı Değil,Boş,Şişli,"10,000"
5 + 1,400,320,1,25,Kombi,3,Eşyalı Değil,Mülk Sahibi,Bakırköy,"22,000"
3 + 1,130,120,4,30,Kombi,5,Uygun,İkinci El,Fatih,"8,000"
2 + 1,100,90,2,15,Kombi,4,Eşyalı,Boş,Şile,"5,000"
2 + 1,100,90,3,15,Kombi,6,Eşyalı Değil,Boş,Kadıköy,"9,000"
3 + 1,110,100,Bahçe Katı,22,Merkezi,11,Eşyalı Değil,Boş,Sarıyer,"13,000"
